location,sampleID,sampling,stage,sample_rep,weight_before_dilution,weight_after_dilution
L,,S1,H,1,25.09,125.08
L,,S1,H,2,25.09,125.27
L,,S1,H,3,25.01,125.14
L,,S1,T,1,24.98,125.01
L,,S1,T,2,25.02,125.08
L,,S1,T,3,25,125.6
L,,S1,P,1,24.99,125.38
L,,S1,P,2,25.01,125.06
L,,S1,P,3,25.02,125.03
L,,S1,R,1,25.03,125.31
L,,S1,R,2,25.03,125.11
L,,S1,R,3,25.06,125.18
L,,S1,D0,1,25,125.15
L,,S1,D0,2,25.03,125.1
L,,S1,D0,3,25,125.33
L,,S1,D2,1,25.1,125.11
L,,S1,D2,2,24.97,125.75
L,,S1,D2,3,24.99,125.54
L,,S1,D4,1,25.08,124.93
L,,S1,D4,2,25.02,129.4
L,,S1,D4,3,25.37,125.59
L,,S1,D6,1,25,125.11
L,,S1,D6,2,25.02,124.95
L,,S1,D6,3,25.02,125
L,,S1,D8,1,25.18,126.14
L,,S1,D8,2,25.18,127.54
L,,S1,D8,3,25.35,125.02
L,,S1,D10,1,25.13,125.12
L,,S1,D10,2,25,125.8
L,,S1,D10,3,25.02,125.9
L,,S2,H,1,24.98,125.02
L,,S2,H,2,25.01,125.13
L,,S2,H,3,25.06,125.1
L,,S2,T,1,25.02,125.51
L,,S2,T,2,25.06,125.07
L,,S2,T,3,25.01,125.41
L,,S2,P,1,25.21,128.95
L,,S2,P,2,25.16,127.69
L,,S2,P,3,25.1,125.7
L,,S2,R,1,NA_NS,NA_NS
L,,S2,R,2,NA_NS,NA_NS
L,,S2,R,3,NA_NS,NA_NS
L,,S2,D0,1,24.97,124.96
L,,S2,D0,2,25.03,125.5
L,,S2,D0,3,25.03,124.92
L,,S2,D2,1,25.18,125.59
L,,S2,D2,2,25.04,125.23
L,,S2,D2,3,NA_NS,NA_NS
L,,S2,D4,1,24.97,124.98
L,,S2,D4,2,NA_NS,NA_NS
L,,S2,D4,3,NA_NS,NA_NS
L,,S2,D6,1,25.09,125.01
L,,S2,D6,2,25.02,125.05
