"lot","log_conc_geom","temperature","day","lot_d0_conc"
"S1",6.29071752966667,4,0,6.29071752966667
"S1",6.75772770233333,4,10,6.29071752966667
"S1",6.533220805,4,2,6.29071752966667
"S1",6.68390966733333,4,4,6.29071752966667
"S1",6.82383391433333,4,6,6.29071752966667
"S1",6.76203915833333,4,8,6.29071752966667
"S2",6.80276435333333,4,0,6.80276435333333
"S2",6.9985491945,4,10,6.80276435333333
"S2",6.8243058055,4,2,6.80276435333333
"S2",6.088588062,4,4,6.80276435333333
"S2",7.3667000645,4,6,6.80276435333333
"S2",7.21789715,4,8,6.80276435333333
"S3",6.626135383,4,0,6.626135383
"S3",6.99632550166667,4,10,6.626135383
"S3",6.78124608033333,4,2,6.626135383
"S3",7.051775341,4,4,6.626135383
"S3",7.387645154,4,6,6.626135383
"S3",7.333381747,4,8,6.626135383
"F1",6.94112367122448,4,10,6.53873762074783
"F1",6.98675902945744,4,3,6.53873762074783
"F1",6.76801841330524,4,5,6.53873762074783
"F1",6.82340074232073,4,7,6.53873762074783
"F2",7.33252985517574,4,10,6.72507280020155
"F2",7.4660609032156,4,3,6.72507280020155
"F2",7.05438041019537,4,5,6.72507280020155
"F2",7.07719001310249,4,7,6.72507280020155
"F4",9.91845362031815,4,10,7.37348351152097
"F4",9.33570966228743,4,5,7.37348351152097
"F4",9.4750198662604,4,7,7.37348351152097
"R2",7.18790887833103,4,10,6.38767260146487
"R2",6.97977036269008,4,3,6.38767260146487
"R3",7.65942020964083,4,10,6.54489291739289
"R3",7.18132417521087,4,3,6.54489291739289
"R4",7.36681876373782,4,10,6.49936053520394
"R4",7.2484149531069,4,3,6.49936053520394
"R5",8.26252955617317,4,10,6.23404653894361
"R5",7.13131951905363,4,3,6.23404653894361
"R6",9.85927023073578,4,10,7.75635684804687
"R6",9.75458730547826,4,7,7.75635684804687
"R7",9.37906195248906,4,3,8.33357816327499
"F1",6.53873762074783,4,0,6.53873762074783
"F2",6.72507280020155,4,0,6.72507280020155
"F3",6.74979903622521,4,0,6.74979903622521
"F3",7.6935712791726,4,10,6.74979903622521
"F3",6.92155142192346,4,3,6.74979903622521
"F3",6.80194929041965,4,5,6.74979903622521
"F3",7.41749884424479,4,7,6.74979903622521
"F4",7.37348351152097,4,0,7.37348351152097
"F4",7.85096043979457,4,3,7.37348351152097
"R1",6.98457719345193,4,0,6.98457719345193
"R1",7.34416512140259,4,10,6.98457719345193
"R2",6.38767260146487,4,0,6.38767260146487
"R3",6.54489291739289,4,0,6.54489291739289
"R4",6.49936053520394,4,0,6.49936053520394
"R5",6.23404653894361,4,0,6.23404653894361
"R6",7.75635684804687,4,0,7.75635684804687
"R7",8.33357816327499,4,0,8.33357816327499
"R7",9.16872673493472,4,10,8.33357816327499
