"package","initial_count","storage_temp","day","count","growth_model","loc","sampling_code"
1,3.77245170465632,6,1,3.86185427906079,"mm-strain","us",1
1,3.77245170465632,6,2,3.93672543793406,"mm-strain","us",1
1,3.77245170465632,6,3,4.05916904435759,"mm-strain","us",1
1,3.77245170465632,6,4,4.2438208797411,"mm-strain","us",1
1,3.77245170465632,6,5,4.49732608199285,"mm-strain","us",1
1,3.77245170465632,6,6,4.81497985903444,"mm-strain","us",1
1,3.77245170465632,6,7,5.18181406444139,"mm-strain","us",1
1,3.77245170465632,6,8,5.57586234193616,"mm-strain","us",1
1,3.77245170465632,6,9,5.97172697246615,"mm-strain","us",1
1,3.77245170465632,6,10,6.3456609002722,"mm-strain","us",1
1,3.77245170465632,6,11,6.68095315722952,"mm-strain","us",1
1,3.77245170465632,6,12,6.97000807880988,"mm-strain","us",1
1,3.77245170465632,6,13,7.21270969159897,"mm-strain","us",1
1,3.77245170465632,6,14,7.41336502398999,"mm-strain","us",1
1,3.77245170465632,6,15,7.57805870971631,"mm-strain","us",1
1,3.77245170465632,6,16,7.71299089334185,"mm-strain","us",1
1,3.77245170465632,6,17,7.823677043335,"mm-strain","us",1
1,3.77245170465632,6,18,7.91470463498585,"mm-strain","us",1
1,3.77245170465632,6,19,7.98977787118225,"mm-strain","us",1
1,3.77245170465632,6,20,8.05187385895222,"mm-strain","us",1
1,3.77245170465632,6,21,8.10341562767747,"mm-strain","us",1
1,3.77245170465632,6,22,8.14641930139987,"mm-strain","us",1
1,3.77245170465632,6,23,8.18259773407103,"mm-strain","us",1
1,3.77245170465632,6,24,8.21341462185418,"mm-strain","us",1
1,3.77245170465632,6,25,8.24009460640438,"mm-strain","us",1
1,3.77245170465632,6,26,8.26360900554378,"mm-strain","us",1
1,3.77245170465632,6,27,8.28466529031325,"mm-strain","us",1
1,3.77245170465632,6,28,8.30372273240206,"mm-strain","us",1
1,3.77245170465632,6,29,8.32103921409956,"mm-strain","us",1
1,3.77245170465632,6,30,8.33673702502387,"mm-strain","us",1
2,3.80548152285107,6,1,3.86591592019962,"mm-strain","us",1
2,3.80548152285107,6,2,3.93599461424319,"mm-strain","us",1
2,3.80548152285107,6,3,4.06425247952492,"mm-strain","us",1
2,3.80548152285107,6,4,4.26997093603536,"mm-strain","us",1
2,3.80548152285107,6,5,4.55553084834132,"mm-strain","us",1
2,3.80548152285107,6,6,4.90598182958533,"mm-strain","us",1
2,3.80548152285107,6,7,5.29821385238773,"mm-strain","us",1
2,3.80548152285107,6,8,5.70715744255284,"mm-strain","us",1
2,3.80548152285107,6,9,6.10771078520577,"mm-strain","us",1
2,3.80548152285107,6,10,6.47811157757479,"mm-strain","us",1
2,3.80548152285107,6,11,6.80432806858351,"mm-strain","us",1
2,3.80548152285107,6,12,7.08135084837904,"mm-strain","us",1
2,3.80548152285107,6,13,7.31105295299825,"mm-strain","us",1
2,3.80548152285107,6,14,7.4990001449427,"mm-strain","us",1
2,3.80548152285107,6,15,7.65191810810586,"mm-strain","us",1
2,3.80548152285107,6,16,7.77623054306944,"mm-strain","us",1
2,3.80548152285107,6,17,7.87744709002078,"mm-strain","us",1
2,3.80548152285107,6,18,7.96005473863566,"mm-strain","us",1
2,3.80548152285107,6,19,8.02764077200553,"mm-strain","us",1
2,3.80548152285107,6,20,8.083085401291,"mm-strain","us",1
2,3.80548152285107,6,21,8.12874629445514,"mm-strain","us",1
2,3.80548152285107,6,22,8.1666028653519,"mm-strain","us",1
2,3.80548152285107,6,23,8.19834667907612,"mm-strain","us",1
2,3.80548152285107,6,24,8.22541500987337,"mm-strain","us",1
2,3.80548152285107,6,25,8.24898041098405,"mm-strain","us",1
2,3.80548152285107,6,26,8.26992650491709,"mm-strain","us",1
2,3.80548152285107,6,27,8.28884451579314,"mm-strain","us",1
2,3.80548152285107,6,28,8.30606943641312,"mm-strain","us",1
2,3.80548152285107,6,29,8.32174985053678,"mm-strain","us",1
2,3.80548152285107,6,30,8.33592891860311,"mm-strain","us",1
3,3.86766829756378,6,1,3.94597424364865,"mm-strain","us",1
3,3.86766829756378,6,2,4.03310136882108,"mm-strain","us",1
3,3.86766829756378,6,3,4.17964691693102,"mm-strain","us",1
3,3.86766829756378,6,4,4.39834493831983,"mm-strain","us",1
3,3.86766829756378,6,5,4.68618062733779,"mm-strain","us",1
3,3.86766829756378,6,6,5.02365067997098,"mm-strain","us",1
3,3.86766829756378,6,7,5.38475892935724,"mm-strain","us",1
3,3.86766829756378,6,8,5.74633474952994,"mm-strain","us",1
3,3.86766829756378,6,9,6.09145324660638,"mm-strain","us",1
3,3.86766829756378,6,10,6.40934444561448,"mm-strain","us",1
3,3.86766829756378,6,11,6.69425673710127,"mm-strain","us",1
3,3.86766829756378,6,12,6.9441849168352,"mm-strain","us",1
3,3.86766829756378,6,13,7.15971353948897,"mm-strain","us",1
3,3.86766829756378,6,14,7.34305859052781,"mm-strain","us",1
3,3.86766829756378,6,15,7.49733207930963,"mm-strain","us",1
3,3.86766829756378,6,16,7.62601808787284,"mm-strain","us",1
3,3.86766829756378,6,17,7.73262863564565,"mm-strain","us",1
3,3.86766829756378,6,18,7.8205014794231,"mm-strain","us",1
3,3.86766829756378,6,19,7.89270414102145,"mm-strain","us",1
3,3.86766829756378,6,20,7.9520118513057,"mm-strain","us",1
3,3.86766829756378,6,21,8.00092565518064,"mm-strain","us",1
3,3.86766829756378,6,22,8.04169154477468,"mm-strain","us",1
3,3.86766829756378,6,23,8.0762846511071,"mm-strain","us",1
3,3.86766829756378,6,24,8.10634848115717,"mm-strain","us",1
3,3.86766829756378,6,25,8.13312076175878,"mm-strain","us",1
3,3.86766829756378,6,26,8.15740136427491,"mm-strain","us",1
3,3.86766829756378,6,27,8.1795985304052,"mm-strain","us",1
3,3.86766829756378,6,28,8.19984257804411,"mm-strain","us",1
3,3.86766829756378,6,29,8.21812182390436,"mm-strain","us",1
3,3.86766829756378,6,30,8.23439550212662,"mm-strain","us",1
4,3.97156241351754,6,1,4.16600336347854,"mm-strain","us",1
4,3.97156241351754,6,2,4.29230799051373,"mm-strain","us",1
4,3.97156241351754,6,3,4.47156424427776,"mm-strain","us",1
4,3.97156241351754,6,4,4.70464975603447,"mm-strain","us",1
4,3.97156241351754,6,5,4.98378170404525,"mm-strain","us",1
4,3.97156241351754,6,6,5.29685616097107,"mm-strain","us",1
4,3.97156241351754,6,7,5.63189442203437,"mm-strain","us",1
4,3.97156241351754,6,8,5.97803331986469,"mm-strain","us",1
4,3.97156241351754,6,9,6.3236780268748,"mm-strain","us",1
4,3.97156241351754,6,10,6.65565125745141,"mm-strain","us",1
4,3.97156241351754,6,11,6.96167864428511,"mm-strain","us",1
4,3.97156241351754,6,12,7.23386330090647,"mm-strain","us",1
4,3.97156241351754,6,13,7.46986642258715,"mm-strain","us",1
4,3.97156241351754,6,14,7.67162642987453,"mm-strain","us",1
4,3.97156241351754,6,15,7.84327284049552,"mm-strain","us",1
4,3.97156241351754,6,16,7.98945907116952,"mm-strain","us",1
4,3.97156241351754,6,17,8.11444488486858,"mm-strain","us",1
4,3.97156241351754,6,18,8.22177309020763,"mm-strain","us",1
4,3.97156241351754,6,19,8.31427647196052,"mm-strain","us",1
4,3.97156241351754,6,20,8.39421195876147,"mm-strain","us",1
4,3.97156241351754,6,21,8.46341073176671,"mm-strain","us",1
4,3.97156241351754,6,22,8.52339933458635,"mm-strain","us",1
4,3.97156241351754,6,23,8.57548126657255,"mm-strain","us",1
4,3.97156241351754,6,24,8.6207829408238,"mm-strain","us",1
4,3.97156241351754,6,25,8.66027414589696,"mm-strain","us",1
4,3.97156241351754,6,26,8.69477612672832,"mm-strain","us",1
4,3.97156241351754,6,27,8.72496957688217,"mm-strain","us",1
4,3.97156241351754,6,28,8.75140973405188,"mm-strain","us",1
4,3.97156241351754,6,29,8.77454893863604,"mm-strain","us",1
4,3.97156241351754,6,30,8.79476222438383,"mm-strain","us",1
5,3.75267793285133,6,1,3.84281621596187,"mm-strain","us",1
5,3.75267793285133,6,2,3.91789322177621,"mm-strain","us",1
5,3.75267793285133,6,3,4.04059537986798,"mm-strain","us",1
5,3.75267793285133,6,4,4.22608033292566,"mm-strain","us",1
5,3.75267793285133,6,5,4.48150574395646,"mm-strain","us",1
5,3.75267793285133,6,6,4.80148482469846,"mm-strain","us",1
5,3.75267793285133,6,7,5.17031150584518,"mm-strain","us",1
5,3.75267793285133,6,8,5.56632099848649,"mm-strain","us",1
5,3.75267793285133,6,9,5.96474652336825,"mm-strain","us",1
5,3.75267793285133,6,10,6.3420280743313,"mm-strain","us",1
5,3.75267793285133,6,11,6.68109213308693,"mm-strain","us",1
5,3.75267793285133,6,12,6.97373693655441,"mm-strain","us",1
5,3.75267793285133,6,13,7.21934982458469,"mm-strain","us",1
5,3.75267793285133,6,14,7.42202467809478,"mm-strain","us",1
5,3.75267793285133,6,15,7.58789222799255,"mm-strain","us",1
5,3.75267793285133,6,16,7.72334003729008,"mm-strain","us",1
5,3.75267793285133,6,17,7.8340998974376,"mm-strain","us",1
5,3.75267793285133,6,18,7.92493677226912,"mm-strain","us",1
5,3.75267793285133,6,19,7.99966559770838,"mm-strain","us",1
5,3.75267793285133,6,20,8.06130050426537,"mm-strain","us",1
5,3.75267793285133,6,21,8.1122271492941,"mm-strain","us",1
5,3.75267793285133,6,22,8.15435154512008,"mm-strain","us",1
